line_id	line
1	**The Project Gutenberg Etext of Moby Dick, by Herman Melville**
2	#3 in our series by Herman Melville
3	
4	This Project Gutenberg version of Moby Dick is based on a combination
5	of the etext from the ERIS project at Virginia Tech and another from
6	Project Gutenberg's archives, as compared to a public-domain hard copy.
7	
8	Copyright laws are changing all over the world, be sure to check
9	the copyright laws for your country before posting these files!!
10	
11	Please take a look at the important information in this header.
12	We encourage you to keep this file on your own disk, keeping an
13	electronic path open for the next readers.  Do not remove this.
14	
15	
16	**Welcome To The World of Free Plain Vanilla Electronic Texts**
17	
18	**Etexts Readable By Both Humans and By Computers, Since 1971**
19	
20	*These Etexts Prepared By Hundreds of Volunteers and Donations*
21	
22	Information on contacting Project Gutenberg to get Etexts, and
23	further information is included below.  We need your donations.
24	
25	
26	Title:  Moby Dick; or The Whale
27	
28	Author:  Herman Melville
29	
30	June, 2001  [Etext #2701]
31	
32	**The Project Gutenberg Etext of Moby Dick, by Herman Melville**
33	******This file should be named moby10b.txt or moby10b.zip******
34	
35	Corrected EDITIONS of our etexts get a new NUMBER, moby11b.txt
36	VERSIONS based on separate sources get new LETTER, moby10c.txt
37	
38	This etext was prepared by Daniel Lazarus and Jonesey
39	
40	Project Gutenberg Etexts are usually created from multiple editions,
41	all of which are in the Public Domain in the United States, unless a
42	copyright notice is included.  Therefore, we usually do NOT keep any
43	of these books in compliance with any particular paper edition.
44	
45	
46	We are now trying to release all our books one month in advance
47	of the official release dates, leaving time for better editing.
48	
49	Please note:  neither this list nor its contents are final till
50	midnight of the last day of the month of any such announcement.
51	The official release date of all Project Gutenberg Etexts is at
52	Midnight, Central Time, of the last day of the stated month.  A
53	preliminary version may often be posted for suggestion, comment
54	and editing by those who wish to do so.  To be sure you have an
55	up to date first edition [xxxxx10x.xxx] please check file sizes
56	in the first week of the next month.  Since our ftp program has
57	a bug in it that scrambles the date [tried to fix and failed] a
58	look at the file size will have to do, but we will try to see a
59	new copy has at least one byte more or less.
60	
61	
62	Information about Project Gutenberg (one page)
63	
64	We produce about two million dollars for each hour we work.  The
65	time it takes us, a rather conservative estimate, is fifty hours
66	to get any etext selected, entered, proofread, edited, copyright
67	searched and analyzed, the copyright letters written, etc.  This
68	projected audience is one hundred million readers.  If our value
69	per text is nominally estimated at one dollar then we produce $2
70	million dollars per hour this year as we release thirty-six text
71	files per month, or 432 more Etexts in 1999 for a total of 2000+
72	If these reach just 10% of the computerized population, then the
73	total should reach over 200 billion Etexts given away this year.
74	
75	The Goal of Project Gutenberg is to Give Away One Trillion Etext
76	Files by December 31, 2001.  [10,000 x 100,000,000 = 1 Trillion]
77	This is ten thousand titles each to one hundred million readers,
78	which is only ~5% of the present number of computer users.
79	
80	At our revised rates of production, we will reach only one-third
81	of that goal by the end of 2001, or about 3,333 Etexts unless we
82	manage to get some real funding; currently our funding is mostly
83	from Michael Hart's salary at Carnegie-Mellon University, and an
84	assortment of sporadic gifts; this salary is only good for a few
85	more years, so we are looking for something to replace it, as we
86	don't want Project Gutenberg to be so dependent on one person.
87	
88	We need your donations more than ever!
89	
90	
91	All donations should be made to Project Gutenberg/CMU: and are
92	tax deductible to the extent allowable by law.  (CMU = Carnegie-
93	Mellon University).
94	
95	For these and other matters, please mail to:
96	
97	Project Gutenberg
98	P. O. Box  2782
99	Champaign, IL 61825
100	
101	When all other email fails. . .try our Executive Director:
102	Michael S. Hart <hart@pobox.com>
103	hart@pobox.com forwards to hart@prairienet.org and archive.org
104	if your mail bounces from archive.org, I will still see it, if
105	it bounces from prairienet.org, better resend later on. . . .
106	
107	We would prefer to send you this information by email.
108	
109	******
110	
111	To access Project Gutenberg etexts, use any Web browser
112	to view http://promo.net/pg.  This site lists Etexts by
113	author and by title, and includes information about how
114	to get involved with Project Gutenberg.  You could also
115	download our past Newsletters, or subscribe here.  This
116	is one of our major sites, please email hart@pobox.com,
117	for a more complete list of our various sites.
118	
119	To go directly to the etext collections, use FTP or any
120	Web browser to visit a Project Gutenberg mirror (mirror
121	sites are available on 7 continents; mirrors are listed
122	at http://promo.net/pg).
123	
124	Mac users, do NOT point and click, typing works better.
125	
126	Example FTP session:
127	
128	ftp sunsite.unc.edu
129	login: anonymous
130	password: your@login
131	cd pub/docs/books/gutenberg
132	cd etext90 through etext99
133	dir [to see files]
134	get or mget [to get files. . .set bin for zip files]
135	GET GUTINDEX.??  [to get a year's listing of books, e.g., GUTINDEX.99]
136	GET GUTINDEX.ALL [to get a listing of ALL books]
137	
138	***
139	
140	**Information prepared by the Project Gutenberg legal advisor**
141	
142	(Three Pages)
143	
144	
145	***START**THE SMALL PRINT!**FOR PUBLIC DOMAIN ETEXTS**START***
146	Why is this Small Print! statement here?  You know: lawyers.
147	They tell us you might sue us if there is something wrong with
148	your copy of this etext, even if you got it for free from
149	someone other than us, and even if what's wrong is not our
150	fault.  So, among other things, this Small Print! statement
151	disclaims most of our liability to you.  It also tells you how
152	you can distribute copies of this etext if you want to.
153	
154	*BEFORE!* YOU USE OR READ THIS ETEXT
155	By using or reading any part of this PROJECT GUTENBERG-tm
156	etext, you indicate that you understand, agree to and accept
157	this Small Print! statement.  If you do not, you can receive
158	a refund of the money (if any) you paid for this etext by
159	sending a request within 30 days of receiving it to the person
160	you got it from.  If you received this etext on a physical
161	medium (such as a disk), you must return it with your request.
162	
163	ABOUT PROJECT GUTENBERG-TM ETEXTS
164	This PROJECT GUTENBERG-tm etext, like most PROJECT GUTENBERG-
165	tm etexts, is a public domain work distributed by Professor
166	Michael S. Hart through the Project Gutenberg Association at
167	Carnegie-Mellon University (the Project).  Among other
168	things, this means that no one owns a United States copyright
169	on or for this work, so the Project (and you!) can copy and
170	distribute it in the United States without permission and
171	without paying copyright royalties.  Special rules, set forth
172	below, apply if you wish to copy and distribute this etext
173	under the Project's PROJECT GUTENBERG trademark.
174	
175	To create these etexts, the Project expends considerable
176	efforts to identify, transcribe and proofread public domain
177	works.  Despite these efforts, the Project's etexts and any
178	medium they may be on may contain Defects.  Among other
